cohort_month,city,months_since_first_order,retained_pct
2025-01,Dubai,1,0.4141
2025-01,Dubai,2,0.3098
2025-01,Dubai,3,0.2654
2025-01,Dubai,4,0.2245
2025-01,Dubai,5,0.2093
2025-02,Dubai,1,0.3901
2025-02,Dubai,2,0.2848
2025-02,Dubai,3,0.2338
2025-02,Dubai,4,0.2053
2025-03,Dubai,1,0.356
2025-03,Dubai,2,0.2624
2025-03,Dubai,3,0.2182
2025-04,Dubai,1,0.3426
2025-04,Dubai,2,0.2348
2025-05,Dubai,1,0.3107
2025-01,Abu Dhabi,1,0.4229
2025-01,Abu Dhabi,2,0.3289
2025-01,Abu Dhabi,3,0.2723
2025-01,Abu Dhabi,4,0.243
2025-01,Abu Dhabi,5,0.2274
2025-02,Abu Dhabi,1,0.4274
2025-02,Abu Dhabi,2,0.3216
2025-02,Abu Dhabi,3,0.2693
2025-02,Abu Dhabi,4,0.2385
2025-03,Abu Dhabi,1,0.4175
2025-03,Abu Dhabi,2,0.3124
2025-03,Abu Dhabi,3,0.2734
2025-04,Abu Dhabi,1,0.4158
2025-04,Abu Dhabi,2,0.3208
2025-05,Abu Dhabi,1,0.4263
2025-01,Sharjah,1,0.4107
2025-01,Sharjah,2,0.3008
2025-01,Sharjah,3,0.2577
2025-01,Sharjah,4,0.2281
2025-01,Sharjah,5,0.2032
2025-02,Sharjah,1,0.3964
2025-02,Sharjah,2,0.3006
2025-02,Sharjah,3,0.2462
2025-02,Sharjah,4,0.2249
2025-03,Sharjah,1,0.3855
2025-03,Sharjah,2,0.2931
2025-03,Sharjah,3,0.2462
2025-04,Sharjah,1,0.3919
2025-04,Sharjah,2,0.2936
2025-05,Sharjah,1,0.3903
2025-01,Ajman,1,0.389
2025-01,Ajman,2,0.294
2025-01,Ajman,3,0.2338
2025-01,Ajman,4,0.21
2025-01,Ajman,5,0.1884
2025-02,Ajman,1,0.3856
2025-02,Ajman,2,0.2858
2025-02,Ajman,3,0.2324
2025-02,Ajman,4,0.2034
2025-03,Ajman,1,0.3836
2025-03,Ajman,2,0.2812
2025-03,Ajman,3,0.2281
2025-04,Ajman,1,0.3842
2025-04,Ajman,2,0.2826
2025-05,Ajman,1,0.3635
