week_start,city,mau_actual,mau_plan,orders_actual,orders_plan,gmv_actual_aed,gmv_plan_aed,net_revenue_actual_aed,net_revenue_plan_aed,sessions,sessions_plan,menu_views,add_to_cart,checkout_started,new_users,acquisition_promo_aed,retention_promo_aed,avg_delivery_time_min,cancellation_rate
2025-01-06,Dubai,420002,420000,337005,336000,18615167.99,18816000.0,4132567.29,4177152.0,1255232,1233263,898937,492617,391749,34932,628776.98,577070.21,27.7,0.0206
2025-01-13,Dubai,425704,423780,342292,339533,18969242.59,19032835.84,4211171.85,4225289.56,1266970,1246229,907126,498803,400707,34166,614996.5,588046.52,26.9,0.0202
2025-01-20,Dubai,426634,427594,341527,343102,18789845.37,19252170.5,4171345.67,4273981.85,1267297,1259331,913939,503297,402186,34185,615330.97,582485.21,28.0,0.0211
2025-01-27,Dubai,432125,431442,345599,346709,19066122.67,19474032.77,4232679.23,4323235.27,1270314,1272571,910188,504852,401925,35621,641182.35,591049.8,27.7,0.0209
2025-02-03,Dubai,440024,435325,354362,350355,19539993.84,19698451.78,4337878.63,4373056.3,1292581,1285950,931084,517663,410286,35727,643086.53,605739.81,27.6,0.0223
2025-02-10,Dubai,446288,439243,355402,354038,19771056.3,19925457.01,4389174.5,4423451.46,1297065,1299470,937118,514636,413396,36632,659371.83,612902.75,28.8,0.0206
2025-02-17,Dubai,450459,443196,361938,357760,20161127.43,20155078.24,4475770.29,4474427.37,1339789,1313132,957777,524336,418975,37323,671811.67,624994.95,27.3,0.0205
2025-02-24,Dubai,456492,447185,361693,361521,20096231.28,20387345.64,4461363.34,4525990.73,1311845,1326938,943977,524408,421262,36703,660659.41,622983.17,27.9,0.022
2025-03-03,Dubai,459807,451210,423114,416467,26249172.76,26095445.37,5827316.35,5793188.87,1567156,1528613,1127535,619165,492021,36914,664451.21,813724.36,28.7,0.0214
2025-03-10,Dubai,465894,455271,433544,420846,26811515.36,26396169.63,5952156.41,5859949.66,1586098,1544684,1149200,632033,507396,37999,683982.66,831156.98,27.1,0.0197
2025-03-17,Dubai,470769,459368,431903,425271,26817765.5,26700359.45,5953543.94,5927479.8,1578975,1560924,1152174,629479,501698,38508,693149.72,831350.73,27.9,0.0209
2025-03-24,Dubai,478151,463503,445628,429742,27498766.66,27008054.75,6104726.2,5995788.15,1644240,1577335,1183290,650993,517500,38583,727281.65,852461.77,28.5,0.0211
2025-03-31,Dubai,482514,467674,355532,346646,20888760.81,20628723.94,4637304.9,4579576.71,1344260,1272338,956266,521186,417856,40825,804251.34,647551.59,27.0,0.0215
2025-04-07,Dubai,486287,471883,387781,373386,21752836.16,21183104.28,4805201.51,4702649.15,1410621,1370487,1006282,558986,451057,40769,837811.55,702616.61,27.9,0.0204
2025-04-14,Dubai,495766,476130,399804,388982,22425150.45,22089916.14,4929048.07,4903961.38,1484011,1427728,1063402,581942,461984,42208,903250.54,753485.06,28.5,0.021
2025-04-21,Dubai,497936,480415,399984,393071,22389112.89,22344480.64,4896498.99,4960474.7,1501251,1442738,1080952,590584,471617,42376,942875.62,781380.04,29.7,0.0219
2025-04-28,Dubai,502985,484739,404241,397204,22918267.1,22601978.73,4987014.92,5017639.28,1551138,1457906,1107076,603455,480933,44709,1032781.67,829641.27,29.5,0.0238
2025-05-05,Dubai,509437,489102,407370,401380,22851023.53,22862444.24,4947246.59,5075462.62,1560220,1473234,1122395,605169,480603,44729,1071253.78,856913.38,30.4,0.025
2025-05-12,Dubai,515990,493504,406104,405600,22963304.19,23125911.36,4946295.72,5133952.32,1551379,1488723,1114970,603581,482929,46967,1164769.62,890976.2,31.2,0.026
2025-05-19,Dubai,520007,497945,412644,409864,23403390.67,23392414.67,5015346.62,5193116.06,1578834,1504374,1135801,615991,495104,48140,1234783.85,938475.97,31.5,0.029
2025-05-26,Dubai,526326,502427,414638,414173,23473674.81,23661989.17,5004587.47,5252961.6,1586463,1520191,1148241,627040,506100,46787,1239845.04,971810.14,33.0,0.0282
2025-06-02,Dubai,535073,506948,418728,418527,23425479.37,23934670.26,4968544.17,5313496.8,1677427,1536173,1192457,640483,512523,49854,1363498.19,1000267.97,32.7,0.0291
2025-06-09,Dubai,540946,511511,413022,422927,23129365.8,24210493.72,4880296.18,5374729.61,1653660,1552324,1194248,637415,511176,50286,1418077.54,1017692.1,33.3,0.031
2025-06-16,Dubai,548014,516115,416468,427374,23628542.68,24489495.78,4959631.11,5436668.06,1662527,1568644,1199460,648451,514426,52132,1514441.67,1070372.98,34.7,0.0317
2025-06-23,Dubai,552918,520760,415357,423230,23527155.47,24276278.79,4912470.06,5389333.89,1692317,1553433,1219061,644600,519252,50956,1523572.58,1096365.44,35.0,0.0325
2025-06-30,Dubai,553076,525446,409720,427679,23428531.41,24556038.96,4866105.97,5451440.65,1712342,1569765,1233235,645040,513119,54095,1663417.01,1122226.65,36.3,0.0358
2025-01-06,Abu Dhabi,168026,168000,125341,124320,6790828.55,6713280.0,1541518.08,1510488.0,463493,456307,334147,182248,146245,13908,222525.39,210515.69,27.3,0.0209
2025-01-13,Abu Dhabi,169641,169428,124058,125565,6775090.59,6787278.89,1537945.56,1527137.75,450129,460876,326932,179146,143980,13023,209665.44,210027.81,28.1,0.021
2025-01-20,Abu Dhabi,171366,170868,125822,126822,6796972.3,6862093.46,1542912.71,1543971.03,457057,465491,328729,182519,146309,14305,231742.69,210706.14,27.7,0.0208
2025-01-27,Abu Dhabi,171731,172321,129656,128092,7063104.25,6937732.69,1603324.67,1560989.85,469954,470152,340228,188127,150601,13840,225593.21,218956.23,27.9,0.021
2025-02-03,Abu Dhabi,175739,173785,131556,129374,7129991.96,7014205.67,1618508.17,1578196.28,481168,474859,345237,188916,152586,14254,233767.62,221029.75,27.8,0.0203
2025-02-10,Abu Dhabi,176348,175262,132628,130670,7180824.06,7091521.59,1630047.06,1595592.36,491925,479614,353703,194193,155456,14217,234579.17,222605.55,27.5,0.0216
2025-02-17,Abu Dhabi,177575,176752,133357,131978,7310878.44,7169689.75,1659569.41,1613180.19,492212,484416,353726,193613,155068,14098,234021.9,226637.23,28.3,0.0223
2025-02-24,Abu Dhabi,179684,178255,134096,133300,7246286.98,7248719.54,1644907.14,1630961.9,496339,489266,358048,194962,154934,14291,238656.34,224634.9,28.6,0.022
2025-03-03,Abu Dhabi,181820,179770,156093,153483,9541799.89,9273636.33,2165988.57,2086568.17,580936,563348,417780,228689,181466,15163,254740.55,295795.8,28.5,0.0204
2025-03-10,Abu Dhabi,182784,181298,155503,155020,9421574.16,9375857.42,2138697.33,2109567.92,570326,568989,410129,225958,181088,14794,250012.5,292068.8,28.1,0.0209
2025-03-17,Abu Dhabi,185582,182839,161895,156572,9836265.45,9479205.27,2232832.26,2132821.19,606653,574686,436936,237073,190100,14609,248345.47,304924.23,28.5,0.0214
2025-03-24,Abu Dhabi,186912,184393,157874,158140,9546291.57,9583692.3,2167008.19,2156330.77,570531,580440,409109,226156,183376,14904,254857.01,295935.04,27.3,0.021
2025-03-31,Abu Dhabi,188724,185960,128415,127498,7374113.08,7316386.78,1673923.67,1646187.03,464927,467973,332436,184466,148514,15142,260437.02,228597.51,28.3,0.0209
2025-04-07,Abu Dhabi,190411,187541,139727,137266,7584348.11,7509285.79,1721647.02,1689589.3,514108,503823,366951,203106,162298,15732,272169.18,235114.79,27.0,0.0205
2025-04-14,Abu Dhabi,192712,189135,147372,142928,8051951.94,7826864.81,1827793.09,1761044.58,543157,524606,393488,216783,172164,15861,275983.83,249610.51,28.3,0.0198
